year,AUC_lgb,AP_lgb,Brier_lgb,events,rate,best_iter,p99_repairs,n_train,n_test,AUC_glm,AP_glm,Brier_glm
2015,0.8287707148057543,0.08377890491146471,0.022342637079996664,109,0.023400601116358954,1,5.1985,19626,4658,0.8177379442200221,0.14014620761118307,0.1535848476526961
2016,0.8566108935779373,0.07319132721333607,0.01557206553398842,72,0.015420860998072392,1,5.204,24284,4669,0.8708638484035482,0.1121090833432325,0.15840966697401718
2017,0.7866084078435108,0.0678989517249445,0.01921500675564621,91,0.019337016574585635,1,5.191555999999971,28953,4706,0.7876156346362198,0.10302672505948235,0.15756572450915468
2018,0.7878895917193789,0.06869202495946229,0.019862826791605778,94,0.01991947446492901,1,5.118,33659,4719,0.7859344450833812,0.09973520084880164,0.16202435804240164
2019,0.8446627647714604,0.0862801519741333,0.018852825783879094,92,0.019279128248113998,1,5.0689,38378,4772,0.8377717391304348,0.12522495652802643,0.16332647063000474
2020,0.8523251093247961,0.10733792681120666,0.019154351155313408,93,0.01967005076142132,1,5.040239999999931,43150,4728,0.8324250965654036,0.12182917709258706,0.1642445103081452
2021,0.7802521147885815,0.06718016132727699,0.015601426099889373,71,0.0149852258336851,1,4.994275999999998,47878,4738,0.759274739933063,0.09560589754934816,0.16677938922092297
2022,0.7822367298173751,0.06405054598669407,0.01859846003152385,93,0.018118059614260665,1,4.9767,52616,5133,0.7804019457245264,0.07824900929395437,0.1596774639069813
2023,0.8420665518278511,0.06724207352431574,0.01521711081579922,73,0.014361597481802085,1,4.9345,57749,5083,0.8287397807125474,0.09606127872017976,0.16243572078927157
2024,0.7811475568597259,0.05983760465829381,0.018684543094394813,82,0.01601875366282477,1,4.92,62832,5119,0.7885622006905,0.11002240369085729,0.1636753400781516
